EVENT_ID,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,INJURIES_INDIRECT,DEATHS_INDIRECT,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
198031,CRUMLEY CHAPEL,9/17/2009,1825,0,0,0,0,0,0,9/17/2009,2030,33.5633,-86.9079,33.5622,-86.908
198032,WOODLAWN,9/17/2009,1840,0,0,25000,0,0,0,9/17/2009,2030,33.5369,-86.8067,33.537,-86.8055
198040,LEEDS,9/17/2009,2325,0,0,50000,0,0,0,9/18/2009,30,33.55,-86.56,33.537,-86.556
199969,GRASSELLI,10/12/2009,545,0,0,5000,0,0,0,10/12/2009,700,33.4567,-86.9051,33.4584,-86.9039
228135,CENTER PT,4/24/2010,1430,0,0,5000,0,0,0,4/24/2010,1600,33.6347,-86.6797,33.6331,-86.6812
236167,MIDFIELD,5/21/2010,900,0,0,20000,0,0,0,5/21/2010,1200,33.4442,-86.9177,33.3444,-86.9293
243816,DIXIANA,6/2/2010,2030,0,0,1000,0,0,0,6/2/2010,2115,33.7399,-86.6513,33.7323,-86.6567
243833,AYRES,6/4/2010,1200,0,3,50000,0,0,0,6/4/2010,1500,33.7004,-86.6928,33.6262,-86.7783
244512,(BHM)BIRMINGHAM ARPT,6/15/2010,1145,0,0,40000,0,0,0,6/15/2010,1430,33.5923,-86.771,33.5792,-86.7851
244534,GREENWOOD,6/15/2010,1330,0,0,2000,0,0,0,6/15/2010,1530,33.3425,-86.9316,33.3378,-86.9314
244620,BLUFF PARK,6/18/2010,1930,0,0,7000,0,0,0,6/18/2010,2030,33.4061,-86.8515,33.4052,-86.8514
253267,RED ORE,7/8/2010,2230,0,0,100000,0,0,0,7/8/2010,2330,33.4396,-86.9487,33.4374,-86.9488
295399,CHALKVILLE,3/9/2011,700,0,0,0,0,0,0,3/9/2011,1100,33.6541,-86.653,33.6531,-86.6528
307497,PATTON CHAPLE,4/15/2011,1330,0,0,0,0,0,0,4/15/2011,1830,33.3716,-86.8044,33.3717,-86.8042
307501,MAGELLA,4/15/2011,1400,0,0,0,0,0,0,4/15/2011,1700,33.4314,-86.8229,33.4314,-86.8233
328857,CAHABA HGTS,6/27/2011,1500,0,0,0,0,0,0,6/27/2011,1700,33.4608,-86.7364,33.4595,-86.7369
328850,CAHABA HGTS,6/27/2011,1523,0,0,5000,0,0,0,6/27/2011,1700,33.45,-86.72,33.4471,-86.7169
336111,AYRES,7/21/2011,417,0,0,0,0,0,0,7/21/2011,1017,33.6689,-86.6654,33.6684,-86.6623
350161,DOLOMITE,9/5/2011,1245,0,0,50000,0,0,0,9/5/2011,1845,33.4418,-86.976,33.5466,-86.9273
406637,CROCKER JCT,7/18/2012,1050,0,0,0,0,0,0,7/18/2012,1300,33.67,-86.82,33.67,-86.8163
406033,AVONDALE,7/31/2012,200,0,0,0,0,0,0,7/31/2012,215,33.5253,-86.787,33.5245,-86.7867
406047,MAGELLA,7/31/2012,500,0,0,0,0,0,0,7/31/2012,800,33.4914,-86.8226,33.4907,-86.821
406048,ACIPCO,7/31/2012,700,0,0,0,0,0,0,7/31/2012,715,33.4999,-86.8165,33.4994,-86.8161
406054,CAHABA HGTS,7/31/2012,715,0,0,0,0,0,0,7/31/2012,915,33.4476,-86.7244,33.4477,-86.7254
432227,FAIRFIELD,1/30/2013,1030,0,0,0,0,0,0,1/30/2013,1230,33.4854,-86.9181,33.4848,-86.9191
432231,AYRES,1/30/2013,1055,0,0,0,0,0,0,1/30/2013,1230,33.6678,-86.6633,33.674,-86.6634
465970,WOODLAWN,6/5/2013,1400,0,0,0,0,0,0,6/5/2013,1600,33.51,-86.79,33.5097,-86.7895
465971,AVONDALE,6/5/2013,1715,0,0,0,0,0,0,6/5/2013,2115,33.55,-86.78,33.5491,-86.7791
471879,ENSLEY,7/21/2013,2030,0,0,0,0,0,0,7/22/2013,0,33.5212,-86.8852,33.5159,-86.8849
474426,HOMEWOOD,8/7/2013,1609,0,0,0,0,0,0,8/7/2013,1830,33.4689,-86.784,33.4452,-86.8287
474430,AVONDALE,8/8/2013,1310,0,0,0,0,0,0,8/8/2013,1415,33.5309,-86.785,33.5316,-86.7821
474431,WOODWARD,8/8/2013,1319,0,0,0,0,0,0,8/8/2013,1430,33.4,-86.97,33.3979,-86.9653
519133,POWHATAN,4/7/2014,215,0,0,0,0,0,0,4/7/2014,440,33.575,-87.1056,33.5544,-87.1116
544033,QUEENSTOWN,9/12/2014,1525,0,0,0,0,0,0,9/12/2014,1625,33.6577,-86.5544,33.6585,-86.5527
544031,CLAY,9/12/2014,1525,0,0,0,0,0,0,9/12/2014,1625,33.6701,-86.5973,33.6705,-86.5942
553602,(BHM)BIRMINGHAM ARPT,12/28/2014,100,0,0,0,0,0,0,12/28/2014,400,33.57,-86.75,33.534,-86.7316
596428,MAGELLA,7/10/2015,1530,0,0,0,0,0,0,7/10/2015,1630,33.4601,-86.8131,33.4605,-86.8123
613049,KILGORE,12/25/2015,1800,0,0,0,0,0,0,12/25/2015,2000,33.6867,-87.0309,33.8017,-86.9469
613050,MULGA MINE,12/25/2015,1830,0,0,0,0,0,0,12/25/2015,2200,33.5878,-87.0131,33.5987,-86.7714
646041,THOMAS JCT,6/27/2016,1610,0,0,0,0,0,0,6/27/2016,1730,33.5368,-86.8531,33.5712,-86.7838
692301,PATTON CHAPLE,4/3/2017,630,0,0,0,0,0,0,4/3/2017,930,33.3847,-86.8114,33.3859,-86.8073
692302,MAGELLA,4/3/2017,630,0,0,0,0,0,0,4/3/2017,930,33.48,-86.83,33.481,-86.825
692304,MAGELLA,4/3/2017,630,0,0,0,0,0,0,4/3/2017,930,33.4529,-86.8164,33.4554,-86.8098
692303,ACIPCO,4/3/2017,630,0,0,0,0,0,0,4/3/2017,930,33.5,-86.82,33.4975,-86.8176
699289,EAST BIRMINGHAM,5/20/2017,1800,0,0,0,0,0,0,5/20/2017,2100,33.54,-86.75,33.5214,-86.8304
713163,CAHABA HGTS,7/11/2017,1510,0,0,0,0,0,0,7/11/2017,1630,33.4573,-86.7396,33.4646,-86.7403
713169,ISHKOODA,7/15/2017,1650,0,0,0,0,0,0,7/15/2017,1830,33.3806,-86.999,33.3908,-86.9204
716750,AVONDALE,7/24/2017,1345,0,0,0,0,0,0,7/24/2017,1630,33.55,-86.78,33.59,-86.77
716788,VESTAVIA HILLS,7/26/2017,1045,0,0,0,0,0,0,7/26/2017,1300,33.4249,-86.7979,33.3975,-86.8117
719362,WARRIOR,8/10/2017,2140,0,0,0,0,0,0,8/10/2017,2330,33.7969,-86.8586,33.8442,-86.8819
758399,FAIRFIELD HGTS,5/15/2018,1630,0,0,0,0,0,0,5/15/2018,1830,33.4609,-86.9601,33.4793,-86.9349
767268,ACIPCO,6/17/2018,1430,0,0,0,0,0,0,6/17/2018,1630,33.4995,-86.8009,33.51,-86.7716
774599,HOPKINS,7/16/2018,1055,0,0,0,0,0,0,7/16/2018,1230,33.4724,-87.0853,33.4927,-87.0387
785765,SUMTER,9/26/2018,1030,0,0,0,0,0,0,9/26/2018,1230,33.344,-87.1337,33.5271,-86.8337
